user,contributions,repositories,primary_language,monthly_contributions,contribution_types
JoaoPedro0803,160,44,Python,"{'2023-06': 86, '2023-07': 30, '2023-08': 0, '2023-09': 7, '2023-10': 6, '2023-11': 7, '2023-12': 18, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 6, '2024-05': 0, '2024-06': 0}","{'commits': 136, 'pull_requests': 3, 'issues': 0, 'reviews': 14}"
Leofbrgs,31,13,TypeScript,"{'2023-06': 12, '2023-07': 6, '2023-08': 0, '2023-09': 0, '2023-10': 12, '2023-11': 0, '2023-12': 1, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 27, 'pull_requests': 2, 'issues': 0, 'reviews': 0}"
mobilutz,184,27,Ruby,"{'2023-06': 5, '2023-07': 2, '2023-08': 9, '2023-09': 0, '2023-10': 11, '2023-11': 4, '2023-12': 1, '2024-01': 56, '2024-02': 42, '2024-03': 43, '2024-04': 9, '2024-05': 2, '2024-06': 0}","{'commits': 127, 'pull_requests': 27, 'issues': 9, 'reviews': 13}"
TheJulianJES,1119,56,Java,"{'2023-06': 24, '2023-07': 11, '2023-08': 79, '2023-09': 32, '2023-10': 76, '2023-11': 104, '2023-12': 75, '2024-01': 133, '2024-02': 180, '2024-03': 155, '2024-04': 148, '2024-05': 101, '2024-06': 1}","{'commits': 218, 'pull_requests': 144, 'issues': 13, 'reviews': 510}"
vital14,102,37,Dart,"{'2023-06': 7, '2023-07': 12, '2023-08': 0, '2023-09': 13, '2023-10': 11, '2023-11': 3, '2023-12': 18, '2024-01': 0, '2024-02': 2, '2024-03': 0, '2024-04': 14, '2024-05': 22, '2024-06': 0}","{'commits': 89, 'pull_requests': 8, 'issues': 0, 'reviews': 3}"
bouwew,4410,26,Python,"{'2023-06': 170, '2023-07': 210, '2023-08': 807, '2023-09': 726, '2023-10': 810, '2023-11': 302, '2023-12': 165, '2024-01': 340, '2024-02': 268, '2024-03': 110, '2024-04': 114, '2024-05': 349, '2024-06': 39}","{'commits': 4077, 'pull_requests': 222, 'issues': 19, 'reviews': 88}"
murilogds,77,34,JavaScript,"{'2023-06': 26, '2023-07': 38, '2023-08': 0, '2023-09': 2, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 4, '2024-02': 0, '2024-03': 3, '2024-04': 4, '2024-05': 0, '2024-06': 0}","{'commits': 43, 'pull_requests': 13, 'issues': 2, 'reviews': 5}"
Shutgun,227,13,Python,"{'2023-06': 7, '2023-07': 11, '2023-08': 26, '2023-09': 40, '2023-10': 26, '2023-11': 25, '2023-12': 45, '2024-01': 9, '2024-02': 6, '2024-03': 2, '2024-04': 16, '2024-05': 14, '2024-06': 0}","{'commits': 101, 'pull_requests': 74, 'issues': 1, 'reviews': 47}"
Yvestxt,49,6,JavaScript,"{'2023-06': 2, '2023-07': 1, '2023-08': 0, '2023-09': 7, '2023-10': 1, '2023-11': 13, '2023-12': 8, '2024-01': 0, '2024-02': 0, '2024-03': 8, '2024-04': 9, '2024-05': 0, '2024-06': 0}","{'commits': 23, 'pull_requests': 3, 'issues': 4, 'reviews': 1}"
bieniu,1449,29,Python,"{'2023-06': 64, '2023-07': 100, '2023-08': 88, '2023-09': 88, '2023-10': 99, '2023-11': 183, '2023-12': 97, '2024-01': 83, '2024-02': 149, '2024-03': 111, '2024-04': 184, '2024-05': 195, '2024-06': 8}","{'commits': 749, 'pull_requests': 383, 'issues': 12, 'reviews': 298}"
AlexandreLJr,25,11,Python,"{'2023-06': 0, '2023-07': 8, '2023-08': 0, '2023-09': 0, '2023-10': 7, '2023-11': 5, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 5, '2024-05': 0, '2024-06': 0}","{'commits': 21, 'pull_requests': 1, 'issues': 0, 'reviews': 0}"
daniel-bm,121,29,Python,"{'2023-06': 52, '2023-07': 27, '2023-08': 0, '2023-09': 6, '2023-10': 36, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 52, 'pull_requests': 7, 'issues': 9, 'reviews': 30}"
Izarias,551,17,JavaScript,"{'2023-06': 14, '2023-07': 1, '2023-08': 10, '2023-09': 8, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 15, '2024-04': 261, '2024-05': 221, '2024-06': 21}","{'commits': 534, 'pull_requests': 10, 'issues': 3, 'reviews': 0}"
arthurgrandao,159,12,Java,"{'2023-06': 24, '2023-07': 10, '2023-08': 0, '2023-09': 1, '2023-10': 9, '2023-11': 19, '2023-12': 23, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 10, '2024-05': 62, '2024-06': 0}","{'commits': 42, 'pull_requests': 5, 'issues': 5, 'reviews': 4}"
tronikos,1294,31,Python,"{'2023-06': 37, '2023-07': 100, '2023-08': 140, '2023-09': 236, '2023-10': 118, '2023-11': 121, '2023-12': 152, '2024-01': 45, '2024-02': 27, '2024-03': 47, '2024-04': 91, '2024-05': 179, '2024-06': 1}","{'commits': 750, 'pull_requests': 312, 'issues': 16, 'reviews': 199}"
